Pull Request Size,Time to First Review (mins),Pull Request Duration (mins),Reviewers
4,172.96666666666667,173.11666666666667,marcphilipp
1,,7.35,
190,,1137.6166666666666,
2,146.66666666666666,146.81666666666666,marcphilipp
2,623.0166666666667,623.3666666666667,marcphilipp
1477,,5261.583333333333,
2,2999.1,3298.9666666666667,marcphilipp
2,751.0833333333334,751.1666666666666,marcphilipp
2,4306.216666666666,4306.333333333333,marcphilipp
1,85.38333333333334,4103.15,marcphilipp
2,579.0166666666667,579.1166666666667,marcphilipp
6,84.66666666666667,84.81666666666666,marcphilipp
251,4051.1,4120.133333333333,sbrannen
4,25.6,25.683333333333334,marcphilipp
4,497.01666666666665,497.2,marcphilipp
445,,13026.683333333332,
202,,3069.45,
2575,,1220.2833333333333,
2,64.95,65.06666666666666,marcphilipp
2,102.15,102.3,marcphilipp
2,103.96666666666667,375.93333333333334,marcphilipp
2,11.166666666666666,11.25,marcphilipp
2,10.516666666666667,11.066666666666666,marcphilipp
130,248.46666666666667,1579.7833333333333,"sbrannen, marcphilipp"
2,266.2,266.45,marcphilipp
2,358.1333333333333,358.26666666666665,marcphilipp
4,53.88333333333333,54.0,marcphilipp
815,,7258.983333333334,
2,1919.45,2067.366666666667,marcphilipp
4,429.6166666666667,429.8,marcphilipp
2,104.13333333333334,104.26666666666667,marcphilipp
2,674.2166666666667,674.3333333333334,marcphilipp
2,1.2333333333333334,32.583333333333336,marcphilipp
6038,,4183.0,
6,346.6166666666667,356.0,marcphilipp
2,16.2,16.3,marcphilipp
117,1399.1333333333334,27811.916666666668,"marcphilipp, jbduncan, etrandafir93, YongGoose"
10,546.05,546.1833333333333,marcphilipp
2,840.4666666666667,1058.2166666666667,marcphilipp
6,840.0333333333333,954.7666666666667,marcphilipp
10,82.73333333333333,82.8,marcphilipp
580,5.416666666666667,62.78333333333333,"marcphilipp, sormuras"
2,736.5333333333333,747.2,marcphilipp
2,87.56666666666666,484.1333333333333,marcphilipp
4510,,9734.35,
2,45.61666666666667,51.983333333333334,marcphilipp
279,52.666666666666664,37538.88333333333,"marcphilipp, Oyster-zx"
649,,73.41666666666667,
2,205.98333333333332,308.18333333333334,marcphilipp
117,4.9,233.28333333333333,"marcphilipp, sormuras, YongGoose"
640,4167.933333333333,4168.45,marcphilipp
6,152.98333333333332,167.71666666666667,marcphilipp
123,88.56666666666666,277.5833333333333,"marcphilipp, quintesse"
21,145.45,209.95,"sbrannen, marcphilipp"
2,114.96666666666667,115.1,marcphilipp
2,73.2,73.5,marcphilipp
2,26.866666666666667,206.71666666666667,marcphilipp
4,76.08333333333333,76.21666666666667,marcphilipp
529,3.1,8699.9,"marcphilipp, jbduncan, mpkorstanje"
6,1431.6166666666666,1444.8,marcphilipp
6,347.23333333333335,347.4166666666667,marcphilipp
14,64.21666666666667,283.76666666666665,sormuras
6,489.35,489.6666666666667,marcphilipp
9,2.3333333333333335,8.25,"sbrannen, sormuras"
55,48.15,93.53333333333333,"sbrannen, marcphilipp"
2,170.78333333333333,177.48333333333332,marcphilipp
2,299.9166666666667,475.31666666666666,marcphilipp
2,100.7,193.93333333333334,marcphilipp
4,100.36666666666666,100.51666666666667,marcphilipp
6,74.08333333333333,74.2,marcphilipp
2,73.88333333333334,73.98333333333333,marcphilipp
282,1222.4,2486.866666666667,"sbrannen, marcphilipp"
164,188.38333333333333,1771.7666666666667,"sbrannen, marcphilipp"
402,222.81666666666666,1797.5166666666667,"sbrannen, marcphilipp"
2,777.5,839.9333333333333,marcphilipp
6,939.7,939.85,marcphilipp
2,39.78333333333333,39.983333333333334,marcphilipp
2,66.96666666666667,349.1,marcphilipp
2,497.1,722.7666666666667,marcphilipp
6,497.6666666666667,715.2666666666667,marcphilipp
90,,946.7666666666667,
4,110.31666666666666,723.3666666666667,marcphilipp
2,110.85,294.51666666666665,marcphilipp
2,605.75,605.9166666666666,marcphilipp
6,1065.1,1421.6666666666667,marcphilipp
2,1265.8166666666666,2047.7,marcphilipp
2,1551.4833333333333,1633.0166666666667,marcphilipp
2,171.86666666666667,172.05,marcphilipp
41,39.333333333333336,4184.8,"marcphilipp, sbrannen"
2,197.16666666666666,475.65,marcphilipp
2,42.36666666666667,42.46666666666667,marcphilipp
393,1.0333333333333334,3810.1666666666665,"marcphilipp, sbrannen, mpkorstanje"
